
```
| 250 | تحالف البديل | 27 | تحالف | بغداد | ذكر | امير اياد ياسين كامل العاني | 3554 |
| 250 | تحالف البديل | 28 | تحالف | بغداد | انثى | هدى حامد مصطفى عبد الرزاق الخزرجي | 3555 |
| 250 | تحالف البديل | 29 | تحالف | بغداد | ذكر | رياض يونس سعد شمخي الساعدي | 3556 |
| 250 | تحالف البديل | 30 | تحالف | بغداد | انثى | زينب صباح عبدالله احمد المقرم | 3557 |
| 250 | تحالف البديل | 31 | تحالف | بغداد | ذكر | عمار عبدالقادر عطا محمد الشيخلي | 3558 |
| 250 | تحالف البديل | 32 | تحالف | بغداد | انثى | هديل احمد جبار نعمان البياتي | 3559 |
| 250 | تحالف البديل | 33 | تحالف | بغداد | ذكر | عادل خطاب مهاوي هاشم المنشداوي | 3560 |
| 250 | تحالف البديل | 34 | تحالف | بغداد | انثى | ميسلون علي منشي عداي الساعدي | 3561 |
| 250 | تحالف البديل | 35 | تحالف | بغداد | ذكر | علي عارف فاضل رزوقي الزبيدي | 3562 |
| 250 | تحالف البديل | 36 | تحالف | بغداد | انثى | نورالهدى علاءالدين جاسم لازم الغراوي | 3563 |
| 250 | تحالف البديل | 37 | تحالف | بغداد | ذكر | معن صبحي حسين علي الدجيلي | 3564 |
| 250 | تحالف البديل | 38 | تحالف | بغداد | ذكر | حيدر علي خليل رسول الربيعي | 3565 |
| 250 | تحالف البديل | 39 | تحالف | بغداد | ذكر | وليد راضي جليب كشيش العكيلي | 3566 |
| 250 | تحالف البديل | 40 | تحالف | بغداد | انثى | ختام سلمان طرف حنو العمار | 3567 |
| 250 | تحالف البديل | 41 | تحالف | بغداد | ذكر | اسامه حسن محمد زين العبيدي | 3568 |
| 250 | تحالف البديل | 42 | تحالف | بغداد | ذكر | عمار عماد منصور حسين الحيالي | 3569 |
| 250 | تحالف البديل | 43 | تحالف | بغداد | ذكر | علاء حسن فرج راضي العقالي | 3570 |
| 250 | تحالف البديل | 44 | تحالف | بغداد | انثى | رنا احمد ناصر حسين الشيخ | 3571 |
| 250 | تحالف البديل | 45 | تحالف | بغداد | ذكر | احمد علي كصاب علي ال غشيم | 3572 |
| 250 | تحالف البديل | 46 | تحالف | بغداد | ذكر | حسن خلف سعود عباس الامارة | 3573 |
| 250 | تحالف البديل | 47 | تحالف | بغداد | ذكر | احمد فاضل عباس سهيل الفلاحي | 3574 |
| 250 | تحالف البديل | 48 | تحالف | بغداد | انثى | سلمى يوسف عبدالله جابر الياسري | 3575 |
| 250 | تحالف البديل | 49 | تحالف | بغداد | ذكر | داود سلمان محسن غانم الكعبي | 3576 |
| 250 | تحالف البديل | 50 | تحالف | بغداد | انثى | ميعاد رعد متعب شبيب الزيدي | 3577 |
| 250 | تحالف البديل | 51 | تحالف | بغداد | ذكر | ياسين هلول سعد شبيب الساعدي | 3578 |
